Feature_ID,Area_mm2,Centroid
1,3.15,"(321, 2474)"
2,2.405,"(2310, 2451)"
3,3.1675,"(2096, 2455)"
4,3.9813,"(394, 2460)"
5,3.9325,"(878, 2456)"
6,5.205,"(1000, 2416)"
7,2.9925,"(2259, 2393)"
8,2.2588,"(780, 2442)"
9,9.4,"(1334, 2446)"
10,2.745,"(505, 2441)"
11,2.1288,"(1572, 2398)"
12,6.9,"(2029, 2399)"
13,3.3988,"(1792, 2364)"
14,2.32,"(2240, 2327)"
15,3.49,"(1878, 2347)"
16,5.2425,"(190, 2361)"
17,2.6563,"(2103, 2288)"
18,2.0213,"(679, 2317)"
19,2.7188,"(246, 2311)"
20,22.9738,"(304, 2343)"
21,2.475,"(1755, 2284)"
22,3.0213,"(566, 2386)"
23,6.3175,"(1154, 2293)"
24,6.7075,"(1830, 2258)"
25,2.0888,"(818, 2293)"
26,3.54,"(1235, 2310)"
27,5.4138,"(466, 2302)"
28,4.5713,"(611, 2260)"
29,2.2375,"(2066, 2201)"
30,2.3725,"(1721, 2254)"
31,2.2713,"(676, 2195)"
32,3.0538,"(420, 2208)"
33,2.2938,"(188, 2133)"
34,3.4338,"(2171, 2214)"
35,5.2563,"(1804, 2137)"
36,9.7238,"(301, 2174)"
37,2.2513,"(188, 2088)"
38,26.855,"(1390, 2228)"
39,5.9238,"(2016, 2087)"
40,12.0888,"(1595, 2129)"
41,2.2638,"(703, 2135)"
42,3.4513,"(2276, 2169)"
43,11.1,"(917, 2173)"
44,6.3225,"(1915, 2068)"
45,3.7175,"(1799, 2016)"
46,4.45,"(772, 2185)"
47,3.9075,"(609, 2069)"
48,2.8413,"(1989, 1995)"
49,3.7025,"(1746, 2033)"
50,8.8888,"(1420, 1994)"
51,8.3513,"(1555, 1994)"
52,5.2775,"(378, 2012)"
53,4.9838,"(461, 2060)"
54,8.9675,"(2378, 2150)"
55,8.6013,"(1163, 2137)"
56,3.14,"(1232, 1947)"
57,4.0475,"(1323, 2020)"
58,4.3175,"(1566, 1925)"
59,2.0588,"(1070, 1932)"
60,3.1163,"(2025, 1924)"
61,3.8425,"(389, 1913)"
62,5.6613,"(1032, 2115)"
63,2.425,"(1115, 1902)"
64,2.6025,"(1192, 1871)"
65,2.07,"(1678, 1879)"
66,2.2113,"(1757, 1892)"
67,2.6575,"(1576, 1860)"
68,9.8188,"(1045, 2107)"
69,5.06,"(1372, 1846)"
70,5.5663,"(2149, 1880)"
71,2.1988,"(2303, 1880)"
72,5.2475,"(604, 1889)"
73,3.8788,"(1897, 1828)"
74,4.0613,"(1564, 1815)"
75,6.1513,"(668, 1958)"
76,2.4463,"(696, 1866)"
